"jump_grad_press","jump_grad_dens","diffusion_aux","sigma_a_aux","sigma_t_aux","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
0.0337603,8.86575,0.117132,390.712,853.144,9.34986e-07,1.71705e-06,2.386e-09,2.386e-09,0,135,135
0.0340075,8.90871,0.117132,390.712,853.144,9.34928e-07,1.71703e-06,2.45391e-09,2.45391e-09,0,136,136
0.0341569,8.94691,0.117132,390.712,853.144,9.34868e-07,1.717e-06,2.40709e-09,2.40709e-09,0,137,137
0.0344163,8.99106,0.117132,390.712,853.144,9.34807e-07,1.71697e-06,2.47857e-09,2.47857e-09,0,138,138
0.0345719,9.03014,0.117132,390.712,853.144,9.34743e-07,1.71695e-06,2.42874e-09,2.42874e-09,0,139,139
0.0348442,9.07553,0.117132,390.712,853.144,9.34678e-07,1.71692e-06,2.504e-09,2.504e-09,0,140,140
0.0350065,9.11553,0.117132,390.712,853.144,9.34611e-07,1.71689e-06,2.45099e-09,2.45099e-09,0,141,141
0.0352924,9.16222,0.117132,390.712,853.144,9.34543e-07,1.71686e-06,2.53023e-09,2.53023e-09,0,142,142
0.0354615,9.20318,0.117132,390.712,853.144,9.34471e-07,1.71683e-06,2.47386e-09,2.47386e-09,0,143,143
0.0357619,9.25123,0.117132,390.712,853.144,9.34399e-07,1.7168e-06,2.5573e-09,2.5573e-09,0,144,144
0.0359382,9.29318,0.117132,390.712,853.144,9.34323e-07,1.71677e-06,2.49738e-09,2.49738e-09,0,145,145
0.0362538,9.34267,0.117132,390.712,853.144,9.34246e-07,1.71674e-06,2.58526e-09,2.58526e-09,0,146,146
0.0364377,9.38566,0.117132,390.712,853.144,9.34166e-07,1.7167e-06,2.52158e-09,2.52158e-09,0,147,147
0.0367693,9.43664,0.117132,390.712,853.144,9.34085e-07,1.71667e-06,2.61414e-09,2.61414e-09,0,148,148
0.0369612,9.48071,0.117132,390.712,853.144,9.34e-07,1.71663e-06,2.54649e-09,2.54649e-09,0,149,149
0.0373097,9.53327,0.117132,390.712,853.144,9.33914e-07,1.7166e-06,2.64398e-09,2.64398e-09,0,150,150
0.0375099,9.57847,0.117132,390.712,853.144,9.33824e-07,1.71656e-06,2.57214e-09,2.57214e-09,0,151,151
0.0378763,9.63268,0.117132,390.712,853.144,9.33733e-07,1.71652e-06,2.67484e-09,2.67484e-09,0,152,152
0.0380852,9.67905,0.117132,390.712,853.144,9.33638e-07,1.71648e-06,2.59857e-09,2.59857e-09,0,153,153
0.0384705,9.73499,0.117132,390.712,853.144,9.33541e-07,1.71644e-06,2.70675e-09,2.70675e-09,0,154,154
0.0386883,9.78259,0.117132,390.712,853.144,9.33441e-07,1.71639e-06,2.62579e-09,2.62579e-09,0,155,155
0.0390935,9.84034,0.117132,390.712,853.144,9.33338e-07,1.71635e-06,2.73976e-09,2.73976e-09,0,156,156
0.0393208,9.88921,0.117132,390.712,853.144,9.33232e-07,1.71631e-06,2.65386e-09,2.65386e-09,0,157,157
0.039747,9.94887,0.117132,390.712,853.144,9.33123e-07,1.71626e-06,2.77392e-09,2.77392e-09,0,158,158
0.039984,9.99906,0.117132,390.712,853.144,9.3301e-07,1.71621e-06,2.6828e-09,2.6828e-09,0,159,159
0.0404323,10.0607,0.117132,390.712,853.144,9.32895e-07,1.71616e-06,2.80929e-09,2.80929e-09,0,160,160
0.0406794,10.1123,0.117132,390.712,853.144,9.32776e-07,1.71611e-06,2.71265e-09,2.71265e-09,0,161,161
0.041151,10.1761,0.117132,390.712,853.144,9.32653e-07,1.71606e-06,2.84591e-09,2.84591e-09,0,162,162
0.0414085,10.229,0.117132,390.712,853.144,9.32527e-07,1.716e-06,2.74344e-09,2.74344e-09,0,163,163
