"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00596,0.140558,0.0223439,1.46133e-06,0.139725,0.0125241,0.00834942,0.100825,1.64647,1.18799,171,171,0.0068,0,0
1.00624,0.14056,0.0223471,1.46387e-06,0.139688,0.0125299,0.00835326,0.100844,1.64654,1.18756,172,172,0.00684,0,0
1.00631,0.140558,0.0223508,1.46648e-06,0.139676,0.0125345,0.00835631,0.100873,1.64667,1.18729,173,173,0.00688,0,0
1.00661,0.14056,0.0223542,1.46917e-06,0.139637,0.0125405,0.00836037,0.100893,1.64675,1.18684,174,174,0.00692,0,0
1.00669,0.140558,0.0223581,1.47193e-06,0.139624,0.0125454,0.00836361,0.100924,1.64687,1.18655,175,175,0.00696,0,0
1.00699,0.14056,0.0223618,1.47477e-06,0.139583,0.0125518,0.0083679,0.100945,1.64696,1.18608,176,176,0.007,0,0
1.00709,0.140558,0.0223658,1.4777e-06,0.139569,0.012557,0.00837135,0.100977,1.64709,1.18577,177,177,0.00704,0,0
1.0074,0.14056,0.0223697,1.4807e-06,0.139527,0.0125638,0.00837588,0.101,1.64718,1.18528,178,178,0.00708,0,0
1.00751,0.140558,0.022374,1.48379e-06,0.139511,0.0125693,0.00837956,0.101034,1.64732,1.18494,179,179,0.00712,0,0
1.00784,0.14056,0.0223782,1.48696e-06,0.139466,0.0125765,0.00838434,0.101058,1.64742,1.18442,180,180,0.00716,0,0
1.00795,0.140558,0.0223827,1.49023e-06,0.139449,0.0125824,0.00838827,0.101094,1.64757,1.18406,181,181,0.0072,0,0
1.0083,0.14056,0.0223872,1.49358e-06,0.139403,0.01259,0.00839331,0.10112,1.64767,1.18352,182,182,0.00724,0,0
1.00843,0.140558,0.0223919,1.49703e-06,0.139383,0.0125962,0.00839749,0.101158,1.64783,1.18313,183,183,0.00728,0,0
1.00879,0.14056,0.0223967,1.50058e-06,0.139335,0.0126042,0.00840283,0.101185,1.64794,1.18256,184,184,0.00732,0,0
1.00893,0.140558,0.0224017,1.50423e-06,0.139314,0.0126109,0.00840728,0.101225,1.6481,1.18215,185,185,0.00736,0,0
1.00931,0.14056,0.0224068,1.50798e-06,0.139263,0.0126194,0.00841292,0.101255,1.64822,1.18155,186,186,0.0074,0,0
