"jump_grad_press","jump_grad_dens","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
892637,3333.88,9.92677e-05,0.000210678,0.000134953,0.000134953,0,248,248
951517,3166.03,9.02833e-05,0.000204517,0.000141558,0.000141558,0,249,249
480161,1559.81,8.60858e-05,0.000201363,7.26082e-05,7.26082e-05,0,250,250
276814,954.472,8.40214e-05,0.000199582,4.38117e-05,4.38117e-05,0,251,251
85871.7,322.925,8.29127e-05,0.000198435,1.50823e-05,1.50823e-05,0,252,252
93209.2,317.384,8.19439e-05,0.000197381,1.54439e-05,1.54439e-05,0,253,253
72204,245.221,8.10923e-05,0.000196425,1.21691e-05,1.21691e-05,0,254,254
57794.6,197.842,8.02679e-05,0.000195505,9.9455e-06,9.9455e-06,0,255,255
46547.9,161.561,7.95283e-05,0.000194659,8.23408e-06,8.23408e-06,0,256,256
40623.9,141.955,7.88263e-05,0.000193855,7.28195e-06,7.28195e-06,0,257,257
34668.5,122.379,7.81848e-05,0.000193108,6.35414e-06,6.35414e-06,0,258,258
31332.9,111.617,7.75786e-05,0.000192401,5.79997e-06,5.79997e-06,0,259,259
27543.1,98.8938,7.70201e-05,0.000191741,5.1952e-06,5.1952e-06,0,260,260
25448.8,92.3415,7.64932e-05,0.000191116,4.83264e-06,4.83264e-06,0,261,261
22805.4,83.2329,7.60055e-05,0.000190532,4.4e-06,4.4e-06,0,262,262
21385.6,78.9673,7.55455e-05,0.000189979,4.14295e-06,4.14295e-06,0,263,263
19430.1,72.0308,7.51184e-05,0.000189462,3.8148e-06,3.8148e-06,0,264,264
18412.7,69.1242,7.47157e-05,0.000188973,3.62182e-06,3.62182e-06,0,265,265
16905.8,63.6149,7.43409e-05,0.000188514,3.36299e-06,3.36299e-06,0,266,266
16145.1,61.5665,7.39873e-05,0.000188081,3.21178e-06,3.21178e-06,0,267,267
14948.8,57.0579,7.36577e-05,0.000187674,3.00197e-06,3.00197e-06,0,268,268
14360.4,55.5753,7.33467e-05,0.000187289,2.87949e-06,2.87949e-06,0,269,269
13388.9,51.8036,7.30563e-05,0.000186928,2.70602e-06,2.70602e-06,0,270,270
12920.9,50.7056,7.27822e-05,0.000186587,2.60416e-06,2.60416e-06,0,271,271
12117.5,47.4978,7.2526e-05,0.000186266,2.45865e-06,2.45865e-06,0,272,272
11736.6,46.6671,7.22842e-05,0.000185963,2.37209e-06,2.37209e-06,0,273,273
11062.5,43.9039,7.20578e-05,0.000185678,2.2487e-06,2.2487e-06,0,274,274
10746.4,43.262,7.18441e-05,0.000185409,2.17382e-06,2.17382e-06,0,275,275
10173.9,40.8577,7.1644e-05,0.000185155,2.06833e-06,2.06833e-06,0,276,276
9906.89,40.3507,7.14549e-05,0.000184916,2.00259e-06,2.00259e-06,0,277,277
9415.71,38.2419,7.12777e-05,0.00018469,1.91183e-06,1.91183e-06,0,278,278
